,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,RegionNum,DistrictNum,GardenNum,RoomNum,HallNum,DirectionNum,RenovationNum,PriceNum,YearNum,SizeNum,FloorNum
110,平谷,平谷其它,首城汇景湾,2,1,18,2014,86,南北,其他,265.0,5,106,2956,1,1,22,0,265.0,2014,86,18
111,平谷,平谷其它,首城汇景湾,3,2,18,2014,118,南北,其他,295.0,5,106,2956,2,2,22,0,295.0,2014,118,18
112,平谷,平谷其它,首城汇景湾,1,1,18,2014,67,西北,精装,210.0,5,106,2956,0,1,32,3,210.0,2014,67,18
113,平谷,平谷其它,首城汇景湾,2,1,18,2014,85,南,其他,235.0,5,106,2956,1,1,20,0,235.0,2014,85,18
114,平谷,平谷其它,新华联慧谷,2,2,17,2015,101,南北,其他,275.0,5,106,1437,1,2,22,0,275.0,2015,101,17
115,平谷,平谷其它,新华联慧谷,2,2,17,2015,102,东南南北,精装,285.0,5,106,1437,1,2,8,3,285.0,2015,102,17
116,平谷,平谷其它,首城汇景湾,3,2,15,2014,337,南北,毛坯,780.0,5,106,2956,2,2,22,1,780.0,2014,337,15
117,平谷,平谷其它,首城汇景湾,3,2,18,2014,117,南北,其他,330.0,5,106,2956,2,2,22,0,330.0,2014,117,18
118,平谷,平谷其它,紫贵御园,3,2,17,2016,107,南北,精装,305.0,5,106,2221,2,2,22,3,305.0,2016,107,17
119,平谷,平谷其它,首城汇景湾,3,2,18,2014,136,南北,毛坯,338.0,5,106,2956,2,2,22,1,338.0,2014,136,18
120,平谷,平谷其它,首城汇景湾,3,1,9,2014,151,南北,毛坯,350.0,5,106,2956,2,1,22,1,350.0,2014,151,9
121,平谷,平谷其它,新华联慧谷,3,2,18,2016,125,南北,其他,328.0,5,106,1437,2,2,22,0,328.0,2016,125,18
122,平谷,平谷其它,首城汇景湾,2,2,11,2014,88,南北,简装,260.0,5,106,2956,1,2,22,2,260.0,2014,88,11
123,门头沟,门头沟其它,中国铁建梧桐汇,3,0,25,2015,86,西南,简装,260.0,14,204,233,2,0,34,2,260.0,2015,86,25
124,门头沟,大峪,惠民家园,1,0,15,2010,53,南,简装,228.0,14,78,1377,0,0,20,2,228.0,2010,53,15
125,门头沟,门头沟其它,檀香府,3,2,8,2016,171,南北,毛坯,850.0,14,204,1743,2,2,22,1,850.0,2016,171,8
126,门头沟,门头沟其它,南宫,2,0,4,1958,39,南北,简装,155.0,14,204,711,1,0,22,2,155.0,1958,39,4
127,门头沟,门头沟其它,檀香府,3,1,6,2016,135,南北,其他,649.0,14,204,1743,2,1,22,0,649.0,2016,135,6
128,门头沟,大峪,黑山东街,1,1,7,1994,41,南,简装,178.0,14,78,3054,0,1,20,2,178.0,1994,41,7
129,门头沟,大峪,峪园小区,2,1,6,1997,96,南北,其他,320.0,14,78,1209,1,1,22,0,320.0,1997,96,6
130,门头沟,门头沟其它,惠泽家园,2,1,6,2010,89,南北,其他,283.0,14,204,1378,1,1,22,0,283.0,2010,89,6
