,Region,District,Garden,Room,Hall,Floor,Year,Size,Direction,Renovation,Price,Elevator,RegionNum,DistrictNum,RoomNum,HallNum,DirectionNum,RenovationNum,ElevatorNum,YearNum,SizeNum,FloorNum
157,门头沟,大峪,新桥家园,1,1,24,2001,80,东南,其他,298.0,1,14,80,0,1,6,0,1,2001,80,24
158,门头沟,滨河西区,倚山嘉园,1,1,13,2005,80,东,简装,330.0,1,14,146,0,1,0,2,1,2005,80,13
159,门头沟,门头沟其它,檀香府,3,1,6,2016,135,南北,毛坯,649.0,0,14,207,2,1,33,1,0,2016,135,6
160,门头沟,滨河西区,含晖苑,2,1,6,2007,98,南北,精装,400.0,0,14,146,1,1,33,3,0,2007,98,6
161,门头沟,滨河西区,含晖苑,3,1,6,2007,135,南北,其他,569.0,0,14,146,2,1,33,0,0,2007,135,6
162,门头沟,门头沟其它,梧桐苑清露园,3,1,26,2013,89,东南,精装,439.0,1,14,207,2,1,6,3,1,2013,89,26
163,门头沟,滨河西区,倚山嘉园,2,2,14,2005,99,南北,简装,390.0,1,14,146,1,2,33,2,1,2005,99,14
164,门头沟,门头沟其它,梧桐苑栖凤园,2,1,27,2013,85,南,简装,393.0,1,14,207,1,1,30,2,1,2013,85,27
165,门头沟,门头沟其它,中门花园良实家园,2,1,6,2000,93,南北,精装,280.0,0,14,207,1,1,33,3,0,2000,93,6
166,门头沟,城子,阁外山水,3,1,6,2003,119,南北,精装,400.0,0,14,76,2,1,33,3,0,2003,119,6
167,门头沟,城子,绿岛家园,2,1,12,2011,89,西南,精装,364.0,1,14,76,1,1,50,3,1,2011,89,12
168,门头沟,门头沟其它,惠泽家园,2,1,6,2010,84,南北,简装,285.0,0,14,207,1,1,33,2,0,2010,84,6
169,门头沟,大峪,增产路大街42号院,2,1,6,1997,79,南北,简装,290.0,0,14,80,1,1,33,2,0,1997,79,6
170,门头沟,城子,城子二斜井,2,1,6,1980,53,南北,毛坯,188.0,0,14,76,1,1,33,1,0,1980,53,6
171,门头沟,滨河西区,临镜苑,2,1,16,2008,83,南,简装,360.0,1,14,146,1,1,30,2,1,2008,83,16
172,门头沟,滨河西区,含晖苑,2,1,6,2007,98,南北,精装,413.0,0,14,146,1,1,33,3,0,2007,98,6
173,门头沟,门头沟其它,惠泽家园,2,1,6,2010,86,南北,其他,303.0,0,14,207,1,1,33,0,0,2010,86,6
174,门头沟,冯村,丽景长安,4,2,11,2012,144,南北,精装,720.0,1,14,38,3,2,33,3,1,2012,144,11
175,门头沟,门头沟其它,中门寺街67号院,2,1,4,2003,88,南北,简装,290.0,1,14,207,1,1,33,2,1,2003,88,4
176,门头沟,门头沟其它,惠泽家园,2,1,6,2010,88,南北,精装,310.0,0,14,207,1,1,33,3,0,2010,88,6
177,门头沟,城子,阁外山水,1,1,7,2004,68,南北,简装,240.0,0,14,76,0,1,33,2,0,2004,68,7
178,门头沟,大峪,黑山东街,2,1,7,1994,75,东西,其他,290.0,0,14,80,1,1,20,0,0,1994,75,7
