Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Year
东南,滨河西区,,6,承泽苑,101102737257,2室1厅,400.0,门头沟,其他,101.0,2000
南北,门头沟其它,,6,惠泽家园,101101798622,2室1厅,295.0,门头沟,精装,86.0,2010
南,大峪,,6,惠民家园,101101877257,2室1厅,269.0,门头沟,简装,67.0,2011
南北,大峪,,6,峪园小区,101102715463,2室1厅,240.0,门头沟,其他,64.0,1990
东南北,城子,,6,城子二斜井,101102646370,2室1厅,216.0,门头沟,简装,61.0,1980
南北,滨河西区,,6,承泽苑,101102719528,2室1厅,328.0,门头沟,简装,80.0,2000
南北,大峪,,6,黑山东街,101102727550,2室1厅,205.0,门头沟,其他,54.0,1980
南北,门头沟其它,,4,中门寺街67号院,101102113819,2室1厅,280.0,门头沟,简装,88.0,2003
南北,大峪,,19,金泰丽湾悦栖山,101102480588,4室2厅,825.0,门头沟,毛坯,220.0,2015
南北,滨河西区,,12,临镜苑,101102321555,3室1厅,560.0,门头沟,精装,131.0,2008
南北,滨河西区,,6,葡东小区,101102717226,1室1厅,210.0,门头沟,简装,54.0,1995
南西北,门头沟其它,,6,中门寺街67号院,101102059566,2室1厅,298.0,门头沟,简装,86.0,2003
南,门头沟其它,,24,梧桐苑知秋园,101102723881,2室1厅,380.0,门头沟,毛坯,83.0,2013
南西北,滨河西区,,6,新桥南大街,101102682002,2室1厅,230.0,门头沟,简装,60.0,1988
东西,滨河西区,,6,承泽苑,101102723110,2室1厅,298.0,门头沟,简装,80.0,2000
南北,城子,,6,三家店老宿舍17号院,101102724368,2室1厅,290.0,门头沟,精装,82.0,2003
南,冯村,,23,丽景长安,101102669558,2室1厅,389.0,门头沟,精装,87.0,2012
南北,滨河西区,,6,门头沟月季园,101102738861,2室1厅,246.0,门头沟,简装,63.0,1991
南,滨河西区,,6,门头沟月季园,101102620147,2室1厅,230.0,门头沟,精装,63.0,1990
南北,滨河西区,,6,含晖苑,101102732250,3室2厅,510.0,门头沟,精装,122.0,2004
南,城子,,6,向东楼小区,101102672019,2室1厅,249.0,门头沟,简装,64.0,1985
东南北,滨河西区,,6,德露苑,101102683677,3室1厅,395.0,门头沟,简装,101.0,1998
北,大峪,,24,新桥家园,101102723319,1室1厅,330.0,门头沟,简装,84.0,2003
南北,滨河西区,,6,门头沟月季园,101102740883,3室1厅,342.0,门头沟,简装,76.0,1990
南北,大峪,,6,峪园小区,101102237875,2室1厅,238.0,门头沟,简装,64.0,1990
南北,大峪,,6,新桥路小区,101102139203,2室1厅,190.0,门头沟,简装,49.0,1993
东西,滨河西区,,16,皓月园,101101682950,2室1厅,355.0,门头沟,精装,89.0,2005
南北,门头沟其它,,6,中门寺街67号院,101102727795,2室1厅,265.0,门头沟,简装,76.0,2001
南北,城子,,6,向阳东里,101102696827,2室1厅,245.0,门头沟,简装,63.0,1990
东南,滨河西区,,14,永兴嘉园,101102725424,2室1厅,310.0,门头沟,简装,83.0,2006
东西,大峪,,6,桃园小区,101101934941,2室2厅,298.0,门头沟,简装,87.0,2000
南北,冯村,,10,润西山苑,101101803306,3室1厅,640.0,门头沟,精装,128.0,2014
南,门头沟其它,,24,梧桐苑知秋园,101102469373,2室1厅,378.0,门头沟,毛坯,83.0,2013
南北,大峪,,6,新桥路小区,101102683685,2室1厅,200.0,门头沟,简装,55.0,1992
