index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
480,11,77,1627,8,5,56,64,49,4,310.0
481,11,77,1627,8,10,57,60,49,3,284.0
482,11,139,1574,15,5,45,87,49,3,390.0
483,11,139,2440,15,15,52,108,49,4,513.0
484,11,77,1096,15,15,27,61,63,3,265.0
485,11,139,3340,9,15,53,90,49,3,420.0
486,11,139,3340,8,15,53,73,38,3,350.0
487,11,139,927,9,5,51,75,49,3,360.0
488,11,139,2086,8,13,53,73,63,3,336.0
489,11,199,294,15,5,50,88,49,3,335.0
490,11,139,469,8,5,50,76,49,4,371.0
491,4,167,2379,12,8,60,22,20,0,120.0
492,4,167,1803,5,13,62,21,44,2,105.0
493,4,167,1803,12,12,62,23,20,4,100.0
494,4,167,1803,12,13,62,22,44,3,130.0
495,4,198,3365,23,3,55,145,49,0,785.0
496,4,167,1803,12,13,62,21,46,4,160.0
497,4,198,3423,18,23,61,38,58,3,140.0
498,4,167,1803,12,13,62,23,58,4,125.0
499,4,198,3283,16,19,59,104,49,0,505.0
500,4,198,1027,15,17,61,75,49,3,375.0
501,4,198,2603,5,15,60,27,44,2,123.9
502,4,167,1803,12,13,62,21,46,2,110.0
503,4,167,1803,12,13,62,21,25,3,94.0
504,4,198,3423,12,23,61,38,58,4,175.0
505,4,167,1803,12,12,62,17,44,4,98.0
506,4,198,3423,12,23,61,43,25,3,180.0
507,4,198,2723,16,8,59,122,49,3,570.0
508,4,167,3313,8,5,58,71,49,4,318.0
509,4,198,3282,8,20,61,75,52,4,410.0
510,4,198,2722,15,8,59,49,46,4,430.0
511,4,200,2608,16,8,54,198,27,4,636.0
512,4,167,2330,8,13,51,85,63,3,280.0
513,4,167,1324,8,5,36,49,38,3,212.0
514,4,167,2379,18,8,60,29,58,4,155.0
515,4,198,3366,23,2,52,196,49,4,1050.0
516,4,167,2330,9,3,48,135,20,0,310.0
517,4,198,2723,15,8,59,75,49,3,405.0
518,4,198,588,16,13,56,130,40,4,430.0
519,4,167,3505,23,5,52,157,49,3,446.0
520,4,167,2863,8,5,45,70,49,0,270.0
521,4,198,339,8,14,56,74,24,4,290.0
522,4,167,430,16,5,52,104,49,0,359.0
523,4,167,2863,16,10,48,112,49,0,340.0
524,4,200,2606,16,4,52,99,49,3,290.0
525,4,198,3284,15,14,59,105,49,2,450.0
526,4,198,1528,16,8,61,105,49,3,549.0
527,4,198,3425,15,8,60,86,49,3,430.0
528,4,198,3281,16,19,60,86,27,0,495.0
529,4,167,3314,23,2,58,228,49,4,930.0
530,4,167,430,15,6,54,87,65,3,160.0
531,4,198,2495,1,10,53,42,46,4,235.0
