index,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price
635,7,203,2155,15,5,43,99,22,3,345.0
636,7,172,2509,7,5,50,73,22,2,308.0
637,7,172,2975,15,19,56,101,22,3,490.0
638,7,203,550,14,10,53,69,22,3,325.0
639,7,172,2490,7,5,39,49,22,0,228.0
640,7,203,2711,15,6,56,101,20,1,529.0
641,7,203,2974,15,8,55,81,22,3,480.0
642,7,172,2547,8,5,45,82,22,0,390.0
643,7,172,1552,15,5,45,113,6,3,300.0
644,7,203,2972,7,20,56,47,20,1,320.0
645,7,172,1400,7,12,51,76,0,3,335.0
646,7,203,2832,22,8,54,114,22,3,680.0
647,7,203,2974,7,20,55,65,22,3,350.0
648,7,203,1299,15,8,55,96,22,0,560.0
649,7,172,2063,7,14,55,66,22,3,315.0
650,7,172,22,7,5,48,59,13,2,249.0
651,7,172,1358,7,4,17,29,20,2,180.0
652,7,203,2842,14,5,44,91,22,3,365.0
653,7,172,2632,7,14,45,82,13,2,285.0
654,7,172,620,14,5,54,104,22,2,379.0
655,7,172,1400,7,13,46,73,0,3,340.0
656,7,203,1320,14,7,54,68,22,2,419.0
657,7,172,1408,8,5,43,72,20,2,260.0
658,7,172,2549,14,5,36,48,22,2,256.0
659,7,172,405,15,5,46,114,22,3,365.0
660,7,172,1557,7,5,43,57,22,0,235.0
661,7,205,1977,7,5,45,69,22,2,299.0
662,7,205,2266,15,4,47,121,22,3,450.0
663,7,172,1063,14,5,45,127,22,2,380.0
664,7,172,921,15,5,45,112,22,3,330.0
665,7,203,2155,7,5,43,68,22,3,300.0
666,7,203,548,8,13,51,90,22,3,410.0
667,7,203,1021,8,5,47,74,22,2,330.0
668,7,203,2718,8,19,56,62,20,0,350.0
669,7,203,2973,7,20,55,61,20,2,335.0
670,7,203,2822,7,10,53,68,22,1,330.0
671,7,203,359,7,9,56,66,20,3,390.0
672,7,203,2842,14,5,44,91,22,3,365.0
673,7,203,2831,7,17,53,64,20,3,393.0
674,7,205,306,7,8,55,57,22,3,266.0
675,7,172,2553,7,5,39,68,13,2,250.0
676,7,203,359,14,9,57,75,22,3,438.0
677,7,172,2509,15,5,48,105,22,1,390.0
678,7,166,1403,8,3,49,86,22,3,310.0
679,7,172,921,15,5,45,112,22,2,340.0
680,7,203,549,15,8,46,121,22,3,500.0
681,7,203,2842,7,5,46,67,22,3,320.0
682,7,203,2842,7,5,46,67,22,2,300.0
683,7,172,2490,7,5,40,62,22,2,265.0
684,7,172,1558,7,5,34,42,22,2,212.0
685,7,205,2268,15,17,53,125,22,3,500.0
686,7,172,836,7,5,47,89,22,3,273.0
687,7,203,549,7,8,46,72,22,3,370.0
688,7,203,2157,7,5,46,66,22,3,303.0
689,7,172,2552,15,5,37,75,22,3,308.0
690,7,203,2208,14,14,56,143,22,3,830.0
691,7,205,2262,8,7,49,84,22,3,339.0
692,7,203,1021,14,5,45,84,22,3,330.0
693,7,172,1296,7,5,29,30,22,3,190.0
694,7,203,2839,7,19,54,56,20,3,340.0
695,7,172,2512,7,5,31,47,22,2,210.0
696,7,203,2972,7,20,56,61,20,3,355.0
697,7,172,2063,15,14,53,97,22,2,420.0
698,7,172,1559,7,4,23,33,22,0,176.0
699,7,203,550,2,10,53,41,22,3,242.0
700,7,203,802,29,3,57,113,22,1,750.0
701,7,172,22,7,5,47,69,13,2,270.0
702,7,172,1538,15,5,43,87,22,2,330.0
703,7,172,2829,8,5,43,72,22,2,308.0
704,7,172,1532,7,13,46,96,22,2,320.0
705,7,172,1532,7,13,46,96,22,2,330.0
706,7,172,1558,7,5,34,42,22,2,212.0
707,7,172,2012,7,15,46,82,0,2,320.0
708,7,172,617,8,5,48,85,22,0,280.0
709,7,203,2822,7,5,54,58,22,3,320.0
710,7,172,2477,7,5,45,68,22,2,272.0
711,7,172,2259,8,10,47,85,22,3,360.0
712,7,203,2718,7,20,56,62,20,3,365.0
713,7,172,203,7,5,29,39,22,0,210.0
714,7,203,2952,14,15,54,64,22,2,385.0
715,7,172,921,7,5,45,70,13,2,250.0
716,7,172,1538,7,5,43,100,22,0,310.0
717,7,203,2157,15,5,46,87,22,2,329.0
718,7,203,963,15,4,46,115,22,3,558.0
719,7,203,549,15,8,46,136,22,3,500.0
720,7,203,1322,15,17,56,117,22,1,668.0
721,7,203,2840,14,14,54,66,22,3,365.0
722,7,203,1299,14,8,55,96,22,3,510.0
723,7,203,2832,22,8,54,115,22,3,710.0
724,7,172,2063,7,14,55,58,4,3,294.0
725,7,205,2261,8,10,52,95,22,2,380.0
726,7,172,1063,15,5,45,122,22,2,300.0
727,7,172,2709,28,6,56,108,22,2,560.0
728,7,172,2403,8,5,43,66,22,3,288.0
729,7,205,2347,14,5,47,94,22,3,245.0
730,7,172,1063,7,5,45,82,22,2,263.0
731,7,203,2674,7,5,56,60,22,3,316.0
732,7,172,1401,15,5,44,76,22,2,278.0
733,7,203,1021,7,5,47,73,22,3,315.0
734,7,172,2875,8,4,45,82,22,3,285.0
735,7,203,549,15,8,46,121,22,3,480.0
736,7,203,963,15,4,46,119,22,0,530.0
737,7,205,2349,7,4,48,61,22,3,200.0
738,7,203,2973,7,17,55,68,22,2,360.0
739,7,203,2830,7,20,54,67,20,3,395.0
740,7,203,2258,7,13,54,63,20,3,325.0
741,7,203,2972,7,20,56,67,22,3,390.0
742,7,203,311,22,12,51,201,26,3,650.0
743,7,205,2268,15,18,53,90,22,2,360.0
744,7,172,1138,7,5,30,41,22,2,215.0
745,7,115,655,15,5,45,116,22,3,279.0
746,7,172,2404,7,5,43,64,22,3,300.0
747,7,172,619,7,5,44,49,22,2,210.0
748,7,203,1300,7,15,55,63,22,0,360.0
749,7,172,2259,8,7,50,86,22,2,345.0
750,7,203,548,15,13,51,123,26,3,435.0
751,7,172,620,7,5,52,66,22,3,317.0
752,7,172,1400,7,12,51,76,0,2,299.0
753,7,172,358,7,7,55,69,20,3,350.0
754,7,172,1358,14,3,20,57,22,2,245.0
755,7,172,2546,14,4,40,136,22,0,475.0
756,7,172,1538,7,5,43,84,22,3,260.0
757,7,172,1886,7,13,47,95,20,3,439.0
758,7,203,2831,7,27,52,67,6,3,399.0
759,7,203,2831,7,27,53,67,20,3,395.0
760,7,203,2258,7,13,54,63,20,3,325.0
761,7,172,2477,2,5,45,46,22,2,220.0
762,7,205,306,7,8,56,59,22,0,275.0
763,7,203,963,15,4,46,84,22,3,439.0
