,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
243,14.0,143.0,1341.0,14.0,5.0,41.0,75.0,22.0,0.0,365.0,0
244,14.0,78.0,967.0,7.0,5.0,23.0,33.0,22.0,2.0,195.0,0
245,14.0,78.0,1377.0,7.0,20.0,54.0,41.0,22.0,2.0,249.0,1
246,14.0,143.0,2108.0,7.0,5.0,47.0,66.0,13.0,3.0,319.0,0
247,14.0,78.0,1708.0,7.0,5.0,40.0,53.0,22.0,2.0,262.0,0
248,14.0,143.0,1610.0,7.0,5.0,35.0,40.0,22.0,2.0,255.0,0
249,14.0,143.0,833.0,7.0,5.0,46.0,68.0,22.0,3.0,365.0,0
250,14.0,78.0,1209.0,7.0,5.0,27.0,41.0,22.0,0.0,245.0,0
251,14.0,78.0,1377.0,2.0,10.0,52.0,28.0,20.0,2.0,213.0,1
252,14.0,74.0,2272.0,7.0,5.0,48.0,74.0,22.0,2.0,395.0,0
253,7.0,172.0,2975.0,11.0,17.0,56.0,28.0,0.0,2.0,97.0,1
254,7.0,73.0,231.0,14.0,17.0,55.0,65.0,22.0,1.0,255.0,1
255,7.0,203.0,660.0,18.0,10.0,58.0,59.0,4.0,3.0,218.0,1
256,7.0,203.0,1348.0,5.0,7.0,58.0,22.0,0.0,3.0,135.0,1
257,7.0,73.0,229.0,14.0,11.0,56.0,68.0,22.0,3.0,288.0,1
258,7.0,73.0,231.0,15.0,17.0,57.0,107.0,22.0,1.0,320.0,1
259,7.0,73.0,229.0,14.0,15.0,57.0,75.0,26.0,3.0,275.0,1
260,7.0,73.0,231.0,7.0,19.0,55.0,60.0,20.0,2.0,230.0,1
261,7.0,172.0,2975.0,11.0,17.0,56.0,28.0,0.0,2.0,120.0,1
262,7.0,203.0,329.0,11.0,7.0,59.0,29.0,20.0,3.0,153.0,1
263,7.0,73.0,229.0,14.0,14.0,56.0,75.0,22.0,1.0,275.0,1
264,7.0,203.0,1348.0,4.0,7.0,58.0,20.0,0.0,3.0,120.0,1
265,7.0,203.0,1349.0,5.0,5.0,58.0,24.0,20.0,3.0,125.0,1
266,7.0,172.0,2975.0,5.0,14.0,56.0,25.0,20.0,3.0,110.0,1
267,7.0,172.0,2975.0,11.0,14.0,56.0,26.0,20.0,2.0,108.0,1
268,7.0,210.0,2920.0,14.0,5.0,44.0,86.0,22.0,0.0,200.0,0
269,7.0,203.0,802.0,11.0,7.0,57.0,24.0,20.0,3.0,125.0,1
270,7.0,203.0,2837.0,15.0,3.0,57.0,117.0,22.0,0.0,695.0,1
