District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
滨河西区,承泽苑,2室1厅,6,2000,80.0,南北,简装,328.0,0
大峪,黑山东街,2室1厅,6,1980,54.0,南北,其他,205.0,0
门头沟其它,中门寺街67号院,2室1厅,4,2003,88.0,南北,简装,280.0,1
大峪,金泰丽湾悦栖山,4室2厅,19,2015,220.0,南北,毛坯,825.0,1
滨河西区,临镜苑,3室1厅,12,2008,131.0,南北,精装,560.0,1
滨河西区,葡东小区,1室1厅,6,1995,54.0,南北,简装,210.0,0
门头沟其它,中门寺街67号院,2室1厅,6,2003,86.0,南西北,简装,298.0,0
门头沟其它,梧桐苑知秋园,2室1厅,24,2013,83.0,南,毛坯,380.0,1
滨河西区,新桥南大街,2室1厅,6,1988,60.0,南西北,简装,230.0,0
滨河西区,承泽苑,2室1厅,6,2000,80.0,东西,简装,298.0,0
城子,三家店老宿舍17号院,2室1厅,6,2003,82.0,南北,精装,290.0,0
冯村,丽景长安,2室1厅,23,2012,87.0,南,精装,389.0,1
滨河西区,门头沟月季园,2室1厅,6,1991,63.0,南北,简装,246.0,0
滨河西区,门头沟月季园,2室1厅,6,1990,63.0,南,精装,230.0,0
滨河西区,含晖苑,3室2厅,6,2004,122.0,南北,精装,510.0,0
城子,向东楼小区,2室1厅,6,1985,64.0,南,简装,249.0,0
滨河西区,德露苑,3室1厅,6,1998,101.0,东南北,简装,395.0,3
大峪,新桥家园,1室1厅,24,2003,84.0,北,简装,330.0,1
滨河西区,门头沟月季园,3室1厅,6,1990,76.0,南北,简装,342.0,0
大峪,峪园小区,2室1厅,6,1990,64.0,南北,简装,238.0,0
大峪,新桥路小区,2室1厅,6,1993,49.0,南北,简装,190.0,0
滨河西区,皓月园,2室1厅,16,2005,89.0,东西,精装,355.0,1
门头沟其它,中门寺街67号院,2室1厅,6,2001,76.0,南北,简装,265.0,0
城子,向阳东里,2室1厅,6,1990,63.0,南北,简装,245.0,0
滨河西区,永兴嘉园,2室1厅,14,2006,83.0,东南,简装,310.0,1
大峪,桃园小区,2室2厅,6,2000,87.0,东西,简装,298.0,0
冯村,润西山苑,3室1厅,10,2014,128.0,南北,精装,640.0,1
门头沟其它,梧桐苑知秋园,2室1厅,24,2013,83.0,南,毛坯,378.0,1
大峪,新桥路小区,2室1厅,6,1992,55.0,南北,简装,200.0,0
滨河西区,葡东小区,2室1厅,6,1997,68.0,南北,精装,261.0,0
大峪,永新小区,2室1厅,6,1993,57.0,南北,其他,245.0,0
大峪,惠民家园,2室1厅,6,2009,79.0,南北,简装,295.0,0
滨河西区,双峪路小区,2室1厅,5,1981,57.0,南北,简装,210.0,0
滨河西区,霁月园,3室1厅,16,2006,89.0,东北,简装,385.0,1
门头沟其它,梧桐苑栖凤园,2室1厅,27,2013,85.0,南,精装,378.0,1
城子,绿岛家园,2室1厅,6,2003,91.0,南北,精装,376.5,0
大峪,永新小区,2室1厅,6,1995,62.0,南北,简装,236.0,0
城子,阁外山水,1室0厅,12,2004,48.0,北,简装,203.0,1
滨河西区,葡东小区,2室1厅,6,2001,77.0,南,精装,302.0,0
冯村,丽景长安,2室1厅,26,2012,88.0,南,其他,410.0,1
冯村,冯村信园小区,3室1厅,6,1997,100.0,南北,简装,350.0,1
滨河西区,霁月园,2室1厅,16,2006,90.0,南,精装,366.0,1
门头沟其它,惠泽家园,2室1厅,6,2010,70.0,南北,精装,248.0,0
滨河西区,承泽苑,3室1厅,6,2001,98.0,南北,简装,400.0,0
门头沟其它,梧桐苑清露园,2室1厅,28,2013,85.0,南,简装,340.0,1
滨河西区,霁月园,2室1厅,6,2006,87.0,西南,简装,365.0,1
滨河西区,绮霞苑,2室1厅,6,2003,65.0,南西,精装,275.0,0
滨河西区,德露苑,3室1厅,6,1999,97.0,南北,其他,365.0,0
大峪,大峪南路,2室1厅,6,1981,55.0,南北,简装,195.0,0
大峪,惠民家园,2室1厅,21,2012,63.0,南北,简装,249.0,1
滨河西区,皓月园,2室1厅,6,2005,88.0,东西,精装,319.0,0
大峪,桃园小区,2室1厅,6,1998,75.0,南北,简装,262.0,0
滨河西区,月季园东里,2室1厅,6,1993,62.0,南北,简装,255.0,0
滨河西区,含晖苑,2室1厅,6,2004,90.0,南北,精装,365.0,1
大峪,峪园小区,2室1厅,6,1985,63.0,南北,其他,245.0,0
大峪,惠民家园,1室1厅,11,2010,50.0,南,简装,213.0,1
城子,绿岛家园,2室1厅,6,2006,96.0,南北,简装,395.0,1
良乡,首开熙悦睿府书香,2房间1卫,18,2014,50.0,东,简装,97.0,1
城关,中国铁建原香漫谷,3室1厅,18,2013,87.0,南北,毛坯,255.0,1
长阳,半岛金街,3房间1卫,11,2016,81.0,东南,精装,218.0,1
长阳,怡和南路11号院,1房间1卫,8,2016,44.0,东,精装,135.0,1
城关,中冶蓝城,3室1厅,12,2014,90.0,南北,精装,288.0,1
城关,中国铁建原香漫谷,3室2厅,18,2015,129.0,南北,毛坯,320.0,1
城关,中冶蓝城,3室1厅,16,2015,97.0,南西北,精装,275.0,1
城关,中国铁建原香漫谷,2室1厅,20,2013,82.0,南,简装,230.0,1
良乡,首开熙悦睿府书香,2房间1卫,18,2014,50.0,东,简装,120.0,1
长阳,五和万科长阳天地,2房间1卫,8,2017,51.0,南,精装,153.0,1
城关,中冶蓝城,3室1厅,15,2014,97.0,南北,毛坯,275.0,1
长阳,怡和南路11号院,1房间0卫,8,2016,42.0,东,精装,120.0,1
长阳,怡和南路13号院,1房间1卫,6,2016,46.0,南,精装,125.0,1
良乡,首开熙悦睿府书香,1房间1卫,15,2014,47.0,南,精装,110.0,1
良乡,首开熙悦睿府书香,2房间1卫,15,2014,48.0,南,简装,108.0,1
韩村河,韩村河西小区,3室1厅,6,2002,108.0,南北,其他,200.0,0
长阳,合景领峰,2房间1卫,8,2015,46.0,南,精装,125.0,1
长阳,长阳半岛怡和路6号院,3室2厅,4,2015,139.0,南北,其他,695.0,1
