,Region,District,Garden,Layout,Floor,Year,Size,Direction,Renovation,Price,Elevator
8614,丰台,宋家庄,世纪星,1室1厅,29,2003,50.0,西,精装,285.0,有电梯
8615,丰台,青塔,华富丽苑,2室1厅,30,2007,75.0,东南,简装,397.0,有电梯
8616,丰台,方庄,芳星园一区,3室1厅,14,1992,80.0,东南,简装,538.0,有电梯
8617,丰台,西罗园,华润小区,2室1厅,20,1996,71.0,东南,简装,355.0,有电梯
8618,丰台,马家堡,枫竹苑二区,2室1厅,16,2003,91.0,南,简装,549.0,有电梯
8619,丰台,青塔,万科紫苑,3室2厅,15,2011,95.0,南北,其他,695.0,有电梯
8620,丰台,玉泉营,鸿业兴园一区,2室1厅,21,2006,89.0,东南西南,简装,520.0,有电梯
8621,丰台,太平桥,太平桥小区,2室1厅,24,1991,50.0,南,精装,380.0,有电梯
8622,丰台,玉泉营,三环新城7号院,2室1厅,29,2005,80.0,东西北,精装,453.0,有电梯
8623,丰台,西罗园,西罗园四区,2室1厅,24,1993,69.0,东西北,精装,375.0,有电梯
8624,丰台,卢沟桥,晓月新城,2室1厅,24,2008,87.0,南,精装,385.0,有电梯
8625,丰台,科技园区,怡海花园富泽园,3室2厅,12,1999,127.0,南北,其他,720.0,有电梯
8626,丰台,科技园区,富锦嘉园四区,5室2厅,7,2004,198.0,南北,简装,750.0,无电梯
8627,丰台,宋家庄,政馨园二区,1室1厅,21,2004,64.0,西,简装,310.0,有电梯
8628,丰台,角门,角门东里,2室1厅,18,1998,84.0,东北,简装,430.0,有电梯
8629,丰台,大红门,建欣苑一里,3室2厅,6,2001,126.0,东西,精装,560.0,无电梯
8630,丰台,花乡,天伦锦城,5室2厅,12,2003,178.0,南北,简装,589.0,有电梯
8631,丰台,方庄,芳群园三区,1室1厅,14,1995,63.0,南,精装,385.0,有电梯
8632,丰台,草桥,玺萌丽苑,4室1厅,24,2003,184.0,东,精装,1000.0,有电梯
8633,丰台,太平桥,威尔夏大道,2室2厅,21,2006,113.0,南,精装,890.0,有电梯
8634,丰台,马连道,建茗苑,3室1厅,23,2008,123.0,西南,精装,760.0,有电梯
8635,丰台,方庄,方庄6号,3室1厅,17,2008,119.0,西北,精装,838.0,有电梯
8636,丰台,和义,南苑北里三区,2室1厅,6,1995,64.0,南北,简装,305.0,无电梯
8637,丰台,科技园区,南极星,1室1厅,24,2001,67.0,南,精装,365.0,有电梯
8638,丰台,宋家庄,红狮家园,2室1厅,29,2010,89.0,东西,精装,450.0,有电梯
8639,丰台,卢沟桥,沸城,2室1厅,10,2007,86.0,南,精装,386.0,有电梯
8640,丰台,太平桥,太平桥小区,2室1厅,6,1991,59.0,南,精装,370.0,无电梯
8641,丰台,草桥,未来上层,3室1厅,13,2005,118.0,南北,精装,900.0,有电梯
8642,丰台,玉泉营,三环新城7号院,2室2厅,29,2004,94.0,南北,精装,535.0,有电梯
8643,丰台,玉泉营,三环新城8号院,2室1厅,22,2006,93.0,东南北,精装,530.0,有电梯
8644,丰台,马家堡,明月嘉园,2室1厅,24,2004,80.0,西北,精装,485.0,有电梯
8645,丰台,六里桥,铁路小区,2室1厅,24,1997,75.0,东南,精装,580.0,有电梯
8646,丰台,北大地,正阳小区,2室1厅,22,2004,80.0,西,简装,420.0,有电梯
8647,丰台,成寿寺,四方景园五区,3室1厅,28,2003,120.0,西南,精装,620.0,有电梯
8648,丰台,赵公口,康泽园,2室1厅,19,2002,95.0,南,精装,490.0,有电梯
8649,丰台,花乡,天伦锦城,4室2厅,9,2003,172.0,南,简装,590.0,有电梯
8650,丰台,青塔,天鸿美域,3室2厅,10,2006,148.0,南北,简装,935.0,有电梯
8651,丰台,玉泉营,青秀城,2室1厅,20,2011,88.0,南北,简装,585.0,有电梯
8652,丰台,北京南站,开阳里三区,3室1厅,24,2001,106.0,东南,精装,730.0,有电梯
8653,丰台,方庄,方庄6号,3室2厅,16,2008,115.0,东北,精装,780.0,有电梯
8654,丰台,七里庄,西局欣园北区,3室2厅,19,2007,136.0,南北,精装,1200.0,有电梯
8655,丰台,六里桥,莲香园,2室1厅,24,1999,78.0,东南,精装,550.0,有电梯
8656,丰台,和义,南苑北里三区,1室1厅,6,1995,54.0,东西,简装,245.0,无电梯
8657,丰台,新宫,翠海明苑,3室1厅,6,2005,100.0,南北,简装,598.0,无电梯
8658,丰台,太平桥,太平桥小区,2室1厅,6,1991,59.0,南,简装,380.0,无电梯
8659,丰台,宋家庄,政馨园三区,2室1厅,21,2003,102.0,西北,简装,490.0,有电梯
