Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
南北,门头沟其它,,6,檀香府,3,2,670.0,门头沟,毛坯,135,2016
西北,门头沟其它,,6,中门寺街6号院,2,1,265.0,门头沟,简装,73,2000
东西,滨河西区,,6,石龙北路20号院,2,1,274.0,门头沟,精装,72,1995
东南,大峪,,24,新桥家园,1,1,298.0,门头沟,其他,80,2001
东,滨河西区,,13,倚山嘉园,1,1,330.0,门头沟,简装,80,2005
南北,门头沟其它,,6,檀香府,3,1,649.0,门头沟,毛坯,135,2016
南北,滨河西区,,6,含晖苑,2,1,400.0,门头沟,精装,98,2007
南北,滨河西区,,6,含晖苑,3,1,569.0,门头沟,其他,135,2007
东南,门头沟其它,,26,梧桐苑清露园,3,1,439.0,门头沟,精装,89,2013
南北,滨河西区,,14,倚山嘉园,2,2,390.0,门头沟,简装,99,2005
南,门头沟其它,,27,梧桐苑栖凤园,2,1,393.0,门头沟,简装,85,2013
南北,门头沟其它,,6,中门花园良实家园,2,1,280.0,门头沟,精装,93,2000
南北,城子,,6,阁外山水,3,1,400.0,门头沟,精装,119,2003
西南,城子,,12,绿岛家园,2,1,364.0,门头沟,精装,89,2011
南北,门头沟其它,,6,惠泽家园,2,1,285.0,门头沟,简装,84,2010
南北,大峪,,6,增产路大街42号院,2,1,290.0,门头沟,简装,79,1997
南北,城子,,6,城子二斜井,2,1,188.0,门头沟,毛坯,53,1980
南,滨河西区,,16,临镜苑,2,1,360.0,门头沟,简装,83,2008
南北,滨河西区,,6,含晖苑,2,1,413.0,门头沟,精装,98,2007
南北,门头沟其它,,6,惠泽家园,2,1,303.0,门头沟,其他,86,2010
南北,冯村,,11,丽景长安,4,2,720.0,门头沟,精装,144,2012
南北,门头沟其它,,4,中门寺街67号院,2,1,290.0,门头沟,简装,88,2003
南北,门头沟其它,,6,惠泽家园,2,1,310.0,门头沟,精装,88,2010
南北,城子,,7,阁外山水,1,1,240.0,门头沟,简装,68,2004
东西,大峪,,7,黑山东街,2,1,290.0,门头沟,其他,75,1994
东西,城子,,7,阁外山水,2,1,380.0,门头沟,其他,99,2004
南北,城子,,6,绿岛家园,2,1,380.0,门头沟,精装,98,2003
南,门头沟其它,,27,梧桐苑栖凤园,2,1,390.0,门头沟,精装,85,2013
南北,滨河西区,,6,葡东小区,2,1,320.0,门头沟,精装,84,1996
南,冯村,,23,丽景长安,2,1,418.0,门头沟,精装,87,2012
南北,门头沟其它,,6,惠泽家园,2,1,308.0,门头沟,简装,88,2010
南北,滨河西区,,6,石龙北路26号院,2,1,370.0,门头沟,精装,92,1997
南北,城子,,6,向阳东里,3,1,255.0,门头沟,其他,68,1990
东南,门头沟其它,,23,梧桐苑清露园,3,1,411.0,门头沟,精装,89,2013
东西,门头沟其它,,6,南街铁路小区,2,1,200.0,门头沟,毛坯,57,1994
南北,门头沟其它,,5,矿建街268号院,2,1,297.0,门头沟,精装,87,2003
南北,大峪,,8,西山环路6号院,3,2,679.0,门头沟,精装,123,2015
东南,滨河西区,,6,承泽苑,2,1,400.0,门头沟,其他,101,2000
南北,门头沟其它,,6,惠泽家园,2,1,295.0,门头沟,精装,86,2010
南,大峪,,6,惠民家园,2,1,269.0,门头沟,简装,67,2011
南北,大峪,,6,峪园小区,2,1,240.0,门头沟,其他,64,1990
东南北,城子,,6,城子二斜井,2,1,216.0,门头沟,简装,61,1980
南北,滨河西区,,6,承泽苑,2,1,328.0,门头沟,简装,80,2000
南北,大峪,,6,黑山东街,2,1,205.0,门头沟,其他,54,1980
南北,门头沟其它,,4,中门寺街67号院,2,1,280.0,门头沟,简装,88,2003
南北,大峪,,19,金泰丽湾悦栖山,4,2,825.0,门头沟,毛坯,220,2015
南北,滨河西区,,12,临镜苑,3,1,560.0,门头沟,精装,131,2008
南北,滨河西区,,6,葡东小区,1,1,210.0,门头沟,简装,54,1995
南西北,门头沟其它,,6,中门寺街67号院,2,1,298.0,门头沟,简装,86,2003
南,门头沟其它,,24,梧桐苑知秋园,2,1,380.0,门头沟,毛坯,83,2013
南西北,滨河西区,,6,新桥南大街,2,1,230.0,门头沟,简装,60,1988
东西,滨河西区,,6,承泽苑,2,1,298.0,门头沟,简装,80,2000
南北,城子,,6,三家店老宿舍17号院,2,1,290.0,门头沟,精装,82,2003
南,冯村,,23,丽景长安,2,1,389.0,门头沟,精装,87,2012
南北,滨河西区,,6,门头沟月季园,2,1,246.0,门头沟,简装,63,1991
南,滨河西区,,6,门头沟月季园,2,1,230.0,门头沟,精装,63,1990
南北,滨河西区,,6,含晖苑,3,2,510.0,门头沟,精装,122,2004
南,城子,,6,向东楼小区,2,1,249.0,门头沟,简装,64,1985
东南北,滨河西区,,6,德露苑,3,1,395.0,门头沟,简装,101,1998
北,大峪,,24,新桥家园,1,1,330.0,门头沟,简装,84,2003
南北,滨河西区,,6,门头沟月季园,3,1,342.0,门头沟,简装,76,1990
南北,大峪,,6,峪园小区,2,1,238.0,门头沟,简装,64,1990
南北,大峪,,6,新桥路小区,2,1,190.0,门头沟,简装,49,1993
东西,滨河西区,,16,皓月园,2,1,355.0,门头沟,精装,89,2005
南北,门头沟其它,,6,中门寺街67号院,2,1,265.0,门头沟,简装,76,2001
南北,城子,,6,向阳东里,2,1,245.0,门头沟,简装,63,1990
东南,滨河西区,,14,永兴嘉园,2,1,310.0,门头沟,简装,83,2006
东西,大峪,,6,桃园小区,2,2,298.0,门头沟,简装,87,2000
南北,冯村,,10,润西山苑,3,1,640.0,门头沟,精装,128,2014
南,门头沟其它,,24,梧桐苑知秋园,2,1,378.0,门头沟,毛坯,83,2013
南北,大峪,,6,新桥路小区,2,1,200.0,门头沟,简装,55,1992
南北,滨河西区,,6,葡东小区,2,1,261.0,门头沟,精装,68,1997
南北,大峪,,6,永新小区,2,1,245.0,门头沟,其他,57,1993
南北,大峪,,6,惠民家园,2,1,295.0,门头沟,简装,79,2009
南北,滨河西区,,5,双峪路小区,2,1,210.0,门头沟,简装,57,1981
东北,滨河西区,,16,霁月园,3,1,385.0,门头沟,简装,89,2006
南,门头沟其它,,27,梧桐苑栖凤园,2,1,378.0,门头沟,精装,85,2013
南北,城子,,6,绿岛家园,2,1,376.5,门头沟,精装,91,2003
南北,大峪,,6,永新小区,2,1,236.0,门头沟,简装,62,1995
北,城子,,12,阁外山水,1,0,203.0,门头沟,简装,48,2004
南,滨河西区,,6,葡东小区,2,1,302.0,门头沟,精装,77,2001
南,冯村,,26,丽景长安,2,1,410.0,门头沟,其他,88,2012
南北,冯村,,6,冯村信园小区,3,1,350.0,门头沟,简装,100,1997
南,滨河西区,,16,霁月园,2,1,366.0,门头沟,精装,90,2006
南北,门头沟其它,,6,惠泽家园,2,1,248.0,门头沟,精装,70,2010
南北,滨河西区,,6,承泽苑,3,1,400.0,门头沟,简装,98,2001
南,门头沟其它,,28,梧桐苑清露园,2,1,340.0,门头沟,简装,85,2013
西南,滨河西区,,6,霁月园,2,1,365.0,门头沟,简装,87,2006
南西,滨河西区,,6,绮霞苑,2,1,275.0,门头沟,精装,65,2003
南北,滨河西区,,6,德露苑,3,1,365.0,门头沟,其他,97,1999
南北,大峪,,6,大峪南路,2,1,195.0,门头沟,简装,55,1981
南北,大峪,,21,惠民家园,2,1,249.0,门头沟,简装,63,2012
东西,滨河西区,,6,皓月园,2,1,319.0,门头沟,精装,88,2005
南北,大峪,,6,桃园小区,2,1,262.0,门头沟,简装,75,1998
南北,滨河西区,,6,月季园东里,2,1,255.0,门头沟,简装,62,1993
南北,滨河西区,,6,含晖苑,2,1,365.0,门头沟,精装,90,2004
南北,大峪,,6,峪园小区,2,1,245.0,门头沟,其他,63,1985
南,大峪,,11,惠民家园,1,1,213.0,门头沟,简装,50,2010
南北,城子,,6,绿岛家园,2,1,395.0,门头沟,简装,96,2006
东,良乡,,18,首开熙悦睿府书香,2,0,97.0,房山,简装,50,2014
南北,城关,,18,中国铁建原香漫谷,3,1,255.0,房山,毛坯,87,2013
东南,长阳,,11,半岛金街,3,0,218.0,房山,精装,81,2016
东,长阳,,8,怡和南路11号院,1,0,135.0,房山,精装,44,2016
南北,城关,,12,中冶蓝城,3,1,288.0,房山,精装,90,2014
南北,城关,,18,中国铁建原香漫谷,3,2,320.0,房山,毛坯,129,2015
南西北,城关,,16,中冶蓝城,3,1,275.0,房山,精装,97,2015
南,城关,,20,中国铁建原香漫谷,2,1,230.0,房山,简装,82,2013
东,良乡,,18,首开熙悦睿府书香,2,0,120.0,房山,简装,50,2014
南,长阳,,8,五和万科长阳天地,2,0,153.0,房山,精装,51,2017
南北,城关,,15,中冶蓝城,3,1,275.0,房山,毛坯,97,2014
东,长阳,,8,怡和南路11号院,1,0,120.0,房山,精装,42,2016
南,长阳,,6,怡和南路13号院,1,0,125.0,房山,精装,46,2016
南,良乡,,15,首开熙悦睿府书香,1,0,110.0,房山,精装,47,2014
南,良乡,,15,首开熙悦睿府书香,2,0,108.0,房山,简装,48,2014
南北,韩村河,,6,韩村河西小区,3,1,200.0,房山,其他,108,2002
南,长阳,,8,合景领峰,2,0,125.0,房山,精装,46,2015
南北,长阳,,4,长阳半岛怡和路6号院,3,2,695.0,房山,其他,139,2015
南,良乡,,14,旭辉E天地,1,0,110.0,房山,毛坯,38,2015
东南,长阳,,8,合景领峰,5,0,280.0,房山,精装,101,2016
南北,城关,,16,中冶蓝城,3,1,290.0,房山,其他,105,2014
南北,韩村河,,6,大自然新城雅苑,2,1,205.0,房山,精装,90,2011
南北,良乡,,13,首创伊林郡,3,2,500.0,房山,简装,128,2015
南北,城关,,16,中冶蓝城,3,2,240.0,房山,简装,89,2014
南北,长阳,,3,长阳半岛祥云墅,5,0,980.0,房山,毛坯,205,2014
南,长阳,,6,长景新园,1,0,228.0,房山,精装,54,2011
南北,城关,,16,中冶蓝城,2,1,280.0,房山,精装,86,2015
北,良乡,,13,旭辉E天地,4,0,108.0,房山,精装,36,2015
北,良乡,,15,首开熙悦睿府书香,1,0,105.0,房山,精装,47,2014
西北,良乡,,15,辰光嘉园,5,2,663.0,房山,精装,195,2003
南北,窦店,,6,沁馥家园,3,2,260.0,房山,精装,100,2004
南北,长阳,,6,天泰新景,3,2,310.0,房山,简装,108,2005
南北,长阳,,13,九洲溪雅苑一区,3,2,420.0,房山,精装,133,2009
南北,长阳,,6,天泰新景,2,1,260.0,房山,简装,90,2003
西,长阳,,11,半岛金街,3,0,169.0,房山,精装,62,2016
南北,长阳,,9,芭蕾雨悦都北区,2,1,355.0,房山,其他,80,2011
南北,阎村,,20,天恒乐活城,2,2,274.0,房山,简装,89,2011
南北,长阳,,7,金地朗悦润园,3,2,537.0,房山,精装,124,2014
南北,良乡,,6,长虹小区,2,1,320.0,房山,其他,94,2001
南北,长阳,,6,邑上公馆,2,1,312.0,房山,其他,82,2014
南,良乡,,16,智汇雅苑,2,1,345.0,房山,其他,86,2015
南北,城关,,18,中国铁建原香漫谷,3,2,320.0,房山,精装,129,2015
东,长阳,,24,首开熙悦双子座,3,0,130.0,房山,简装,54,2014
南,良乡,,15,首开熙悦睿府书香,1,0,99.0,房山,精装,51,2014
南,长阳,,8,合景领峰,2,0,115.0,房山,毛坯,45,2016
南北,长阳,,11,建邦华庭东区,3,1,490.0,房山,简装,112,2013
南北,窦店,,6,沁馥家园,3,1,190.0,房山,其他,100,2004
南北,韩村河,,6,韩村河西小区,3,2,200.0,房山,精装,117,2002
南北,长阳,,8,徜徉嘉园5号院,3,1,419.0,房山,简装,91,2012
南北,窦店,,15,北京城建琨廷,2,2,259.0,房山,精装,88,2013
南北,窦店,,6,山水汇豪苑A区,3,2,260.0,房山,简装,145,2007
南北,良乡,,6,昊文温泉家园,2,1,265.0,房山,简装,91,2000
东南,城关,,20,中国铁建原香漫谷,2,1,258.0,房山,其他,91,2015
南北,城关,,15,中冶蓝城,2,1,260.0,房山,简装,89,2014
南北,城关,,12,中冶蓝城,3,1,275.0,房山,精装,90,2014
东,长阳,,16,绿地启航社,1,0,99.0,房山,精装,55,2013
南北,长阳,,6,天泰新景,1,1,230.0,房山,简装,68,2008
南北,窦店,,6,沁馥家园,3,2,260.0,房山,精装,100,2004
南北,城关,,16,中冶蓝城,2,1,260.0,房山,简装,89,2014
南北,长阳,,9,芭蕾雨悦都南区,3,1,430.0,房山,精装,64,2012
南北,良乡,,15,金地朗悦悦园,2,1,352.0,房山,精装,82,2013
南北,阎村,,6,腾龙家园二区,3,2,243.0,房山,其他,141,2005
南北,长阳,,5,世茂维拉,4,2,1040.0,房山,毛坯,238,2015
南北,窦店,,15,北京城建琨廷,3,2,308.0,房山,其他,102,2013
东南北,城关,,20,中国铁建原香漫谷,3,1,260.0,房山,其他,100,2013
南北,韩村河,,6,韩村河西小区,3,2,190.0,房山,精装,117,2002
南北,长阳,,3,靠山居艺墅北区,4,1,1000.0,房山,精装,229,2007
南北,城关,,15,中冶蓝城,2,1,240.0,房山,精装,88,2014
南北,城关,,15,中冶蓝城,2,2,267.0,房山,精装,89,2014
南北,窦店,,6,北京城建琨廷,3,1,279.0,房山,其他,100,2015
南北,窦店,,18,北京城建琨廷漫缇,2,1,235.0,房山,精装,88,2016
南北,窦店,,6,沁馥家园,3,1,190.0,房山,其他,100,2004
南,良乡,,15,首开熙悦睿府书香,1,0,120.0,房山,精装,47,2014
东,长阳,,11,半岛金街,3,0,175.0,房山,毛坯,62,2016
西,长阳,,24,首开熙悦双子座,2,0,185.0,房山,简装,57,2014
南北,韩村河,,6,韩村河西小区,5,2,250.0,房山,简装,190,2002
南北,窦店,,6,沁馥家园,3,2,260.0,房山,其他,127,2004
南,良乡,,15,首开熙悦睿府书香,1,0,120.0,房山,简装,47,2014
西,长阳,,11,半岛金街,3,0,170.0,房山,毛坯,62,2015
东,长阳,,24,首开熙悦双子座,3,0,148.0,房山,精装,54,2014
北,良乡,,15,首开熙悦睿府书香,1,0,97.0,房山,精装,49,2014
南北,长阳,,5,大宁山庄三区C区,2,2,490.0,房山,其他,106,2004
南北,韩村河,,6,韩村河西小区,2,1,170.0,房山,简装,82,2002
南北,城关,,18,中国铁建原香漫谷,3,2,312.0,房山,毛坯,129,2015
东,良乡,,18,首开熙悦睿府书香,1,0,110.0,房山,简装,50,2014
东,长阳,,11,半岛金街,3,0,152.0,房山,精装,62,2016
东,长阳,,9,半岛金街,3,0,155.0,房山,其他,63,2016
西,长阳,,11,半岛金街,1,0,155.0,房山,毛坯,62,2015
南北,城关,,20,中国铁建原香漫谷,3,2,260.0,房山,其他,100,2013
东,长阳,,11,半岛金街,2,0,155.0,房山,毛坯,60,2015
南,良乡,,15,首开熙悦睿府书香,2,0,102.0,房山,简装,45,2014
东,长阳,,11,半岛金街,3,0,165.0,房山,其他,62,2016
南北,长阳,,6,天泰新景,3,2,355.0,房山,精装,111,2005
南北,阎村,,6,燕化星城建德二里,2,1,238.0,房山,简装,107,1996
南北,长阳,,6,天泰新景,1,1,260.0,房山,简装,68,2008
东,长阳,,9,半岛金街,3,0,176.0,房山,毛坯,62,2016
西,长阳,,11,半岛金街,2,0,156.0,房山,精装,55,2016
南,良乡,,15,首开熙悦睿府书香,1,0,100.0,房山,简装,45,2014
南北,窦店,,18,北京城建琨廷,4,2,468.0,房山,其他,175,2013
东,长阳,,11,半岛金街,3,0,175.0,房山,毛坯,62,2016
南北,长阳,,3,加州水郡一期,5,2,1400.0,房山,精装,302,2006
南北,窦店,,6,沁馥家园,2,2,240.0,房山,简装,123,2004
