Direction,District,Elevator,Floor,Garden,Room,Hall,Price,Region,Renovation,Size,Year
南,滨河西区,无电梯,6,皓月园,3,2,715.0,门头沟,其他,169,2005
南,冯村,有电梯,23,丽景长安,2,1,390.0,门头沟,精装,87,2012
东西,城子,无电梯,6,龙泉花园,2,1,340.0,门头沟,其他,86,1996
南,冯村,有电梯,23,丽景长安,2,1,417.0,门头沟,精装,87,2012
南北,城子,无电梯,6,桥东街小区,3,1,245.0,门头沟,其他,64,1992
东南北,冯村,无电梯,6,冯村信园小区,3,1,360.0,门头沟,其他,97,1997
北,滨河西区,有电梯,14,皓月园,1,0,198.0,门头沟,精装,46,2006
南北,大峪,无电梯,6,永新小区,2,1,239.0,门头沟,其他,61,1993
南北,门头沟其它,无电梯,6,中门花园良实家园,2,1,310.0,门头沟,简装,99,2000
东西,大峪,有电梯,9,惠民家园,2,1,330.0,门头沟,精装,91,2010
南北,冯村,有电梯,10,润西山苑,3,1,950.0,门头沟,精装,130,2014
南北,滨河西区,无电梯,6,含晖苑,4,2,650.0,门头沟,精装,164,2007
东,大峪,有电梯,24,新桥家园,1,1,330.0,门头沟,精装,84,2003
南北,大峪,无电梯,6,黑山东街,2,1,298.0,门头沟,精装,67,1996
南北,滨河西区,无电梯,6,德露苑,5,2,590.0,门头沟,简装,164,1997
南北,门头沟其它,无电梯,4,潭墅苑,3,2,500.0,门头沟,精装,170,2006
南,滨河西区,无电梯,6,承泽苑,1,1,240.0,门头沟,简装,61,2001
西,大峪,有电梯,24,新桥家园,2,1,460.0,门头沟,简装,109,2003
南,大峪,无电梯,6,惠民家园,1,0,188.0,门头沟,其他,44,2009
南北,城子,无电梯,6,七棵树东大街120号院,2,1,293.0,门头沟,其他,83,2002
南西北,门头沟其它,无电梯,6,惠泽家园,2,1,300.0,门头沟,精装,85,2010
东北,城子,无电梯,7,龙泉花园,2,1,305.0,门头沟,简装,91,1996
南北,门头沟其它,无电梯,6,惠泽家园,2,1,290.0,门头沟,毛坯,84,2010
南北,滨河西区,无电梯,6,德露苑,2,1,340.0,门头沟,简装,93,1999
南北,冯村,无电梯,6,冯村信园小区,2,1,328.0,门头沟,精装,86,1997
南,冯村,有电梯,26,丽景长安,2,1,408.0,门头沟,精装,88,2012
南北,滨河西区,无电梯,6,德露苑,2,1,320.0,门头沟,精装,80,1998
南北,滨河西区,有电梯,10,含晖苑,2,1,400.0,门头沟,精装,95,2007
南北,冯村,有电梯,26,丽景长安,2,1,440.0,门头沟,精装,91,2012
南北,大峪,有电梯,21,金泰丽湾悦栖山,3,1,560.0,门头沟,精装,121,2015
南北,门头沟其它,无电梯,6,惠泽家园,2,1,245.0,门头沟,精装,71,2010
南北,门头沟其它,无电梯,6,惠泽家园,2,1,310.0,门头沟,精装,89,2010
南北,城子,无电梯,7,阁外山水,2,1,416.0,门头沟,其他,99,2004
西,大峪,有电梯,24,新桥家园,2,2,450.0,门头沟,精装,120,2003
南北,滨河西区,无电梯,6,倚山嘉园,2,1,405.0,门头沟,精装,98,2008
东西,滨河西区,有电梯,13,倚山嘉园,3,1,520.0,门头沟,精装,132,2005
南北,大峪,无电梯,6,桃园小区,2,2,300.0,门头沟,其他,87,2000
南北,门头沟其它,有电梯,27,梧桐苑栖凤园,3,1,446.5,门头沟,简装,89,2013
南北,冯村,有电梯,20,润景公馆,3,2,740.0,门头沟,精装,148,2011
南北,大峪,无电梯,6,永新小区,2,1,348.0,门头沟,其他,92,1996
南,大峪,有电梯,19,金泰丽湾悦栖山,2,1,430.0,门头沟,简装,97,2015
南北,滨河西区,无电梯,6,霁月园,4,2,650.0,门头沟,精装,204,2006
南北,滨河西区,无电梯,6,新桥南大街,2,1,245.0,门头沟,简装,64,1987
南北,城子,有电梯,12,阁外山水,3,1,480.0,门头沟,精装,123,2004
南北,门头沟其它,无电梯,6,惠泽家园,2,1,310.0,门头沟,其他,90,2010
西北,冯村,有电梯,20,润景公馆,2,2,500.0,门头沟,其他,100,2011
南北,城子,无电梯,6,三家店西宁路,2,1,206.0,门头沟,简装,62,1986
南北,大峪,无电梯,6,峪园小区,3,1,420.0,门头沟,简装,120,1997
西,大峪,无电梯,7,黑山东街,1,1,193.0,门头沟,其他,41,1994
东西,城子,无电梯,7,阁外山水,2,1,355.0,门头沟,其他,101,2004
南北,冯村,有电梯,26,丽景长安,2,1,425.0,门头沟,精装,91,2012
南北,大峪,有电梯,20,金泰丽湾悦栖山,2,1,470.0,门头沟,精装,110,2016
南北,门头沟其它,无电梯,6,惠泽家园,2,1,310.0,门头沟,精装,90,2010
南北,大峪,有电梯,20,惠民家园,2,1,275.0,门头沟,简装,64,2012
南北,门头沟其它,无电梯,6,惠泽家园,2,1,305.0,门头沟,其他,89,2010
南北,冯村,有电梯,26,丽景长安,2,1,440.0,门头沟,精装,91,2012
东西,滨河西区,有电梯,18,临镜苑,2,1,375.0,门头沟,其他,92,2008
东,大峪,有电梯,24,新桥家园,2,1,450.0,门头沟,其他,117,2003
南北,滨河西区,有电梯,14,含晖苑,2,1,399.0,门头沟,其他,99,2007
南北,门头沟其它,有电梯,24,梧桐苑知秋园,3,1,600.0,门头沟,精装,119,2013
南北,城子,无电梯,6,龙泉花园,3,1,350.0,门头沟,简装,87,1996
南北,冯村,无电梯,6,冯村信园小区,3,1,350.0,门头沟,其他,97,1997
南北,城子,无电梯,6,绿岛家园,4,1,540.0,门头沟,其他,148,2006
南北,大峪,无电梯,6,新桥路小区,2,1,240.0,门头沟,精装,60,1992
南北,滨河西区,无电梯,6,承泽苑,3,1,450.0,门头沟,简装,112,2000
南北,城子,无电梯,5,向阳楼,2,1,228.0,门头沟,其他,61,1970
东西,滨河西区,有电梯,18,临镜苑,2,1,405.0,门头沟,精装,97,2008
南北,滨河西区,无电梯,6,德露苑,2,1,360.0,门头沟,其他,90,1999
西,大峪,有电梯,24,新桥家园,2,2,465.0,门头沟,精装,117,2003
