,District,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall,ElevatorNum
97,菜户营,14,万泉寺东路9号院,6.415096959171596,4.663439094112067,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,3.0,2.0,1.0
98,菜户营,30,鹏润家园,7.1316985104669115,5.337538079701318,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.0,3.0,2.0,1.0
99,右安门外,6,玉林东里一区,6.100318952020064,4.248495242049359,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0,0.0
100,马家堡,6,角门16号院,5.846438775057725,4.110873864173311,1998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,2.0,1.0,0.0
101,太平桥,21,尚西泊图,6.621405651764134,4.852030263919617,2004,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,1.0,3.0,1.0,1.0
102,新宫,15,天骄俊园9号院,6.255750041753367,4.574710978503383,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,1.0
103,青塔,18,广安﹒康馨家园,5.808142489980444,4.248495242049359,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
104,青塔,34,广安﹒康馨家园,5.846438775057725,4.290459441148391,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
105,青塔,28,广安﹒康馨家园,5.860786223465865,4.30406509320417,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
106,青塔,26,广安﹒康馨家园,5.902633333401366,4.343805421853684,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
107,方庄,15,芳星园三区,6.19644412779452,4.465908118654584,2000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
108,旧宫,6,菊源里,6.634633357861686,5.056245805348308,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,4.0,2.0,0.0
109,赵公口,20,康泽园,6.133398042996649,4.499809670330265,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,2.0,1.0,1.0
110,方庄,27,芳城园一区,6.421622267806518,4.584967478670572,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,3.0,1.0,1.0
111,新宫,6,翠海明苑,6.311734809152915,4.51085950651685,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,2.0,1.0,0.0
112,科技园区,14,北京方向,5.955837369464831,4.127134385045092,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0
113,洋桥,6,洋桥北里,5.817111159963204,4.0943445622221,1988,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
114,青塔,20,蔚园,6.2166061010848646,4.553876891600541,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
115,西关环岛,6,秋实家园,5.817111159963204,4.852030263919617,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0,0.0
116,鼓楼大街,28,石坊院,6.16541785423142,4.875197323201151,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
