,District,Elevator,Floor,Garden,Price,Size,Year,东城,丰台,亦庄开发区,大兴,密云,平谷,怀柔,房山,昌平,朝阳,海淀,石景山,西城,通州,门头沟,顺义,其他,南北,毛坯,简装,精装,东,南,西,北,Room,Hall
127,小汤山,,12,纳帕澜郡,518.0,139.0,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,3.0,2.0
128,天通苑,有电梯,24,天通公园里,248.0,54.0,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,1.0,0.0,3.0,
129,回龙观,有电梯,7,上北鑫座,125.0,38.0,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,
130,北七家,无电梯,7,名流花园,420.0,128.0,1998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,0.0,3.0,2.0
131,回龙观,无电梯,7,云趣园一区,510.0,145.0,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,3.0,2.0
132,北七家,,6,王府园中园六区,750.0,212.0,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,2.0
133,鼓楼大街,无电梯,6,和平街东里,290.0,87.0,1994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,3.0,1.0
134,沙河,有电梯,17,北街家园七区,180.0,19.0,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,1.0
135,天通苑,有电梯,20,东亚奥北中心北区,110.0,30.0,2008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,
136,天通苑,有电梯,12,天通苑北二区,860.0,186.0,2005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0.0,1.0,4.0,1.0
137,北七家,,2,蓬莱苑C区,1500.0,213.0,2003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1.0,5.0,2.0
138,南邵,,24,龙山跃,220.0,58.0,2006,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,0.0,3.0,
